	Season	Episode	Category	Q_person	A_person	Q_original	A_original	Q_modified	A_modified	Annotation_1	Annotation_2	Annotation_3	Goldstandard
20	6	21	2	Monica	Paul	(obviously attracted to him) Is-is-is there a-a Mrs. Stevens?	No, unfortunately Lizzie’s mom passed away shortly after she was born. I raised her by myself.	Is-is-is there a-a Mrs. Stevens?	Unfortunately Lizzie’s mom passed away shortly after she was born. I raised her by myself.	2	2	2	2
21	7	22	3	Rachel	Policeman	Really?! You think so? Y’know, I had just rolled out of bed.	Yeah? Well you look phenomenal.	You think this is a great picture?	Well you look phenomenal.	1	1	4	1
22	1	8	1	Joey	Chandler	(entering with Chandler) Morning. We ready to go?	Well, don't we look nice all dressed up?...It's stuff like that, isn't it?	Morning. We ready to go?	Well, don't we look nice all dressed up?	4	1	4	4
23	3	16	1	Ross	Rachel	Don’t you realise none of this would’ve ever happened if I didn’t think at that same moment you weren’t having sex with Mark?	All right. Let’s say I had slept with Mark. Would you have been able to forgive me?	Don’t you realise none of this would’ve ever happened if I didn’t think at that same moment you weren’t having sex with Mark?	Let’s say I had slept with Mark. Would you have been able to forgive me?	4	4	4	4
24	9	5	3	Monica	Chandler	(naughty in doorway) Welcome home. I�ve missed you. join me in the bedroom?	No thanks, I�m good.	I’ve missed you. join me in the bedroom?	No thanks, I’m good.	2	2	2	2
25	8	13	2	Chandler	Monica	Sex on the balcony?	No, but someone’s really not going to get over that idea, are they?	Sex on the balcony?	But someone’s really not going to get over that idea, are they?	4	4	2	4
26	3	5	2	Isabella	Ross	Aren’t you with that girl over there? (points at Rachel, who waves back)	Well, yeah, kinda. Um, but that’s okay, see we have an understanding, um, see we each have this list of five famous people, (gets his out) so I’m allowed to sleep with you. No, no, no, it’s flattery.	Aren’t you with that girl over there?	Well, kinda. Um, but that’s okay, see we have an understanding, um, see we each have this list of five famous people, so I’m allowed to sleep with you	1	1	1	1
27	6	24	1	Joey	Monica	R-R-Richard said he wants to marry you?! (Monica nods yes.) And-and Chandler’s tellin’ ya how much he hates marriage?!	That’s right.	R-R-Richard said he wants to marry you?! And-and Chandler’s tellin’ ya how much he hates marriage?!	That’s right.	1	1	1	1
28	9	6	3	Mike	Phoebe	...kiss him?	Oh, well, yeah...	Did you uhm… ...kiss him?	Oh, well...	4	4	4	4
29	9	9	3	Chandler	Monica	You're gonna put on sweats and clean, aren't you?	It's gonna be so hot!� (She kisses him.)	You're gonna put on sweats and clean, aren't you?	It's gonna be so hot!	1	1	1	1
30	4	7	2	Monica	Phoebe	(to Phoebe) Hey, aren’t you up next?	Oh no, I’m not playing tonight.	Hey, aren’t you up next?	I’m not playing tonight.	2	2	2	2
31	7	7	1	Monica	Janice	(To Chandler) Our kids are gonna call her Aunt Janice aren’t they?	Please, it’s because otherwise I really don’t know what I might do.	Our kids are gonna call her Aunt Janice aren’t they?	Please, it’s because otherwise I really don’t know what I might do.	4	5	5	5
32	5	2	2	Rachel	Ross	Ross, things aren't gonna be weird between us, right? I mean was that just the stupidest thing, me telling you that?	No. No. No, I'm-I'm glad you did. Look, if nothing else, it's-it's always great when someone tells you they love you.	Ross, things aren't gonna be weird between us, right? I mean was that just the stupidest thing, me telling you that?	I'm-I'm glad you did. Look, if nothing else, it's-it's always great when someone tells you they love you.	2	2	2	2
33	9	23-24	1	Joey	Rachel	You like me? (shuts the door)	(nearly whispering) Ok, let's not make a big thing about this!	You like me?	Ok, let's not make a big thing about this!	1	1	1	1
34	10	11	2	Phoebe	Rachel	Really? So this is... this is my big send off in the married life? Rachel this is the only bachelorette party I'm ever gonna have! I've got a big wad of ones in my purse! Really? I mean, really? It's just tea?	Nooo! Phoebe, of course there is more! I mean, I'll just go and talk to Monica and get an ETA on the pee-pee's!	Really? It's just tea?	Phoebe, of course there is more! I mean, I'll just go and talk to Monica and get an ETA on the pee-pee's!	2	2	2	2
35	9	2	1	Ross	Joey	(turns back) What! (Angrily) You didn’t do anything wrong?!	I said I didn’t technically.	You didn’t do anything wrong?!	I said I didn’t technically.	4	4	1	4
36	9	6	2	Ross	Monica	Did Rachel tell you we hired a male nanny?	Yeah! I think that's great!	Did Rachel tell you we hired a male nanny?	I think that's great!	1	4	1	1
37	3	19	1	Kate	Joey	Happy?! Is that what I’m supposed to be Vic? Happy?	Well, why don’t you tell me what you’re supposed to be! Huh? Because I sure as hell can’t figure it out! I talk to you and nothin’. You look at me, and it’s nothin’. (He kisses her) Nothing.	Happy?! Is that what I’m supposed to be Vic? Happy?	Well, why don’t you tell me what you’re supposed to be! Huh? Because I sure as hell can’t figure it out! I talk to you and nothin’. You look at me, and it’s nothin’. Nothing.	4	4	4	4
38	1	11	2	Mrs. Bing	Chandler	Car's waiting downstairs, I just wanted to drop off these copies of my book for your friends. Anything you want from Lisbon?	No, just knowing you're gonna be there is enough.	Anything you want from Lisbon?	Just knowing you're gonna be there is enough.	2	2	2	2
39	5	21	2	Phoebe	Chandler	Hmm, did you talk to Gary about the moving in thing?	Yes I did, and I think you should do it.	Hmm, did you talk to Gary about the moving in thing?	I did, and I think you should do it.	1	1	1	1
40	4	4	1	Mr. Treeger	Rachel	 You think you could make a mess and the big man in coveralls will come in here and clean it up, huh? Well, why don’t think of someone else for a change?	(starting to cry) Okay, I’m sorry. (Runs out still carrying the pizza box.)	 You think you could make a mess and the big man in coveralls will come in here and clean it up, huh?	Okay, I’m sorry.	4	4	4	4
41	9	12	1	Rachel	Monica	Ahhhh , you brought rats to my birthday party?	So this is what a stroke feels like.	Ahhhh , you brought rats to my birthday party?	So this is what a stroke feels like.	5	5	5	5
42	2	3	1	Monica	Rachel	Hey, Rache. You know what we haven't played in a while?	What?	Hey, Rache. You know what we haven't played in a while?	What?	2	2	2	2
43	7	10	3	Rachel	Phoebe	See?	Well, I guess we’ll just have to put the wall back up.	See? One huge room?	Well, I guess we’ll just have to put the wall back up.	1	1	1	1
44	10	9	3	Phoebe	Joey	That’s it? That’s why you won’t go out with her again? So, she took some fries, big deal!	Hey, hey, look! It’s not about a few fries... it’s about what the fries represent.	You won’t go out with her again because she took some fries?	It’s not about a few fries... it's about what the fries represent.	2	2	1	2
45	5	4	2	Joey	Phoebe	Well, may I ask for one example?	Yeah, it's… Y'know there's—no you may not!	Well, may I ask for one example?	It's… Y'know there's—you may not!	2	2	2	2
46	8	5	1	Tim	Monica	I got your page, is everything okay?	Uh well that depends, how are things with Phoebe?	I got your page, is everything okay?	Uh well that depends, how are things with Phoebe?	3	3	3	3
47	9	20	3	Charlie	Ross	I'm pretty sure, professor Spafford from Cornell?	"Oh, well he's obviously late and the rule in my class is ""if you can't come on time, then don't come at all"". (pause) An option that many of my students use. (pause) Shall we?"	Professor Spafford from Cornell is supposed to come with us?	"Oh, well he's obviously late and the rule in my class is ""if you can't come on time, then don't come at all""."	1	1	1	1
48	8	7	1	Joey	Ross	Oh, you’re switching apartments?	It’s not for me, it’s for Rachel.	Oh, you’re switching apartments?	It’s not for me, it’s for Rachel.	4	2	2	2
49	9	19	1	Rachel	Monica	Have you ever had any weird romantic dreams?	Let me think. Oh, when I was younger I used to dream that I got married to Mayor McCheese, and on our wedding night I ate his head.	Have you ever had any weird romantic dreams?	Let me think. Oh, when I was younger I used to dream that I got married to Mayor McCheese, and on our wedding night I ate his head.	4	1	1	1
50	5	22	1	Ross	Phoebe	Well, whatever it is I'm-I'm very, very sorry. Okay?	Apology accepted.	Well, whatever it is I'm-I'm very, very sorry. Okay?	Apology accepted.	1	1	1	1
51	10	17-18	1	Chandler	Monica	Really? You got us a chick and a duck?	Oh, great! Just what you want for a new house with infants. Bird feces.	Really? You got us a chick and a duck?	Oh, great! Just what you want for a new house with infants. Bird feces.	4	4	4	4
52	5	1	2	Rachel	Ross	"Oh yeah! Of course, I mean, she’s gonna get over this, y’know? I mean, so you said my name! Y’know you just said it ‘cause you saw me there, if you’d have seen a circus freak, you would’ve said, ""I take thee circus freak."" Y’know, it didn’t mean anything, it’s just a mistake. It didn’t mean anything. Right?"	No! No! Of course it didn’t mean anything! I mean, uh well, I can understand why Emily would think it meant something, y’know, because-because it was you…	It didn’t mean anything. Right?	Of course it didn’t mean anything!	1	1	1	1
53	1	24	2	Monica	Rachel	I think this is so great! I mean, you and Ross! D-did you have any idea?	No! None! I mean, my first night in the city, he mentioned something about asking me out, but nothing ever happened, so I just... (to Joey): W-well, what else did he say? I mean, does he, like, want to go out with me?	I think this is so great! I mean, you and Ross! D-did you have any idea?	None! I mean, my first night in the city, he mentioned something about asking me out, but nothing ever happened, so I just…	2	2	2	2
54	2	12-13	2	Monica	Rachel	The muscles from Brussels, wham bam Van Damme, did you see Time Cop?	No, was he any good in it?	The muscles from Brussels, wham bam Van Damme, did you see Time Cop?	Was he any good in it?	2	2	2	2
55	2	5	1	Ross	Chandler	Still doing the screening thing?	I had sex today. I never have to answer that phone again.	Still doing the screening thing?	I had sex today. I never have to answer that phone again.	4	4	2	4
56	10	1	1	Precious	Phoebe	I'm not letting you leave until you tell me what's going on here. I mean, are you guys getting back together or something?	Alright... Susie, can I call you Susie?	I'm not letting you leave until you tell me what's going on here. I mean, are you guys getting back together or something?	Alright... Susie, can I call you Susie?	4	4	4	4
57	10	17-18	1	Joey	Ross	So what does that mean? Are you guys getting back together?	Oh, I.. I don't know. We didn't really get to talk.	So what does that mean? Are you guys getting back together?	Oh, I.. I don't know. We didn't really get to talk.	4	4	4	4
58	6	14	2	Rachel	Ross	So uh, so did anything happen? Because rumor has it you guys shut the drapes!	No. No. Nothing happened. I shut the drapes to uh, show her slides of my favorite fossils	So uh, so did anything happen?	Nothing happened. I shut the drapes to uh, show her slides of my favorite fossils.	2	2	2	2
59	3	4	2	Chandler	Monica	So, you don't think I'm terminal?	Well, no, not at all, you're not terminal, you just, you just need some damage control.	So, you don't think I'm terminal?	Well, not at all, you're not terminal, you just, you just need some damage control.	2	2	2	2
60	8	2	3	Chandler	Ross	The cameras? Remember last night I told you to take them?	No you didn’t.	Remember last night I told you to take the cameras?	You didn’t.	2	2	2	2
61	9	8	1	Amy	Ross Starts Talking Over Her 'Do You Remember' Line	No, I'm not talking about you. <to Rachel> It was your fat friends brother with that bad afro, do you remember?	Amy. I'm going to save you some time, ok. <spins finger around in circle> All me	It was your fat friends brother with that bad afro, do you remember?	Amy. I'm going to save you some time, ok. All me	4	4	4	4
62	5	3	1	Dr. Harad	Phoebe	Okay. You ready to push again?	I already had a baby. Leave me alone.	You ready to push again?	I already had a baby. Leave me alone.	2	2	2	2
63	3	3	1	Ross	Chandler	(sees Joey) Hey. (walks into the living room) Uh, Chan, can I uh, can I talk to you for a second?	Sure. What's up?	Uh, Chan, can I uh, can I talk to you for a second?	Sure. What's up?	1	1	1	1
64	3	21	2	Ross	Rachel	(stopping her from falling) Okay, okay. Look, you have got to go to a doctor! Okay?	No. I have got to get ready and go to a dinner at my bosses house. It’s a very big deal, there’s a lot of people there I have to meet.	Look, you have got to go to a doctor! Okay?	I have got to get ready and go to a dinner at my bosses house. It’s a very big deal, there’s a lot of people there I have to meet.	2	2	2	2
65	7	11	2	The Waiter	Phoebe	Are you guys ready?	Yes! I will have the green salad, umm the house salad, and water’s fine.	Are you guys ready?	I will have the green salad, umm the house salad, and water’s fine.	1	1	1	1
66	2	15	2	Monica	Dr. Burke	Well, we don't really have to decide anything right now, do we?	No, no, there's no rush or anything.	Well, we don't really have to decide anything right now, do we?	There's no rush or anything.	2	2	2	2
67	5	14	1	Rachel	Monica	Hey Mon, what are you doing now? Wanna come see a movie with us?	Uhh, y'know actually I was gonna do some laundry.	Hey Mon, what are you doing now? Wanna come see a movie with us?	Uhh, y'know actually I was gonna do some laundry.	2	2	2	2
68	9	17	1	Rachel	Joey	Joey... are you sure? I mean, I know how much you love him!	Rachel... let's be clear on this, ok? I do not love Hugsy. I like him a normal amount...	Joey... are you sure? I mean, I know how much you love him!	Rachel... let's be clear on this, ok? I do not love Hugsy. I like him a normal amount…	4	1	4	4
69	9	13	1	Monica	Phoebe	"""Take me to the mansion in the sky-y"". I am sorry, the song is over. Did you see me out there?"	Every little bit of you!	Did you see me out there?	Every little bit of you!	1	1	1	1
70	9	9	1	Mike	Ross	Um, can I come back in?	(whining) But you left.	Um, can I come back in?	But you left.	4	4	4	4
71	6	19	1	Elizabeth	Ross	Is that supportive?	Is this?!	Is that supportive?	Is this?!	4	4	5	4
72	3	5	2	Phoebe	Frank	You really thought it was perfect?	Well, no, maybe-maybe it wasn’t perfect, but y'know it was pretty cool, y'know, ‘cause we had all those great talks y'know.	You really thought it was perfect?	Well, maybe-maybe it wasn’t perfect, but y'know it was pretty cool, y'know, ‘cause we had all those great talks y'know.	4	2	2	2
73	3	7	3	Rachel	Ross	I’m sorry, let her?	What can I do, she doesn’t listen to me about renter’s insurance either.	I’m sorry, did you say “let her”?	What can I do, she doesn’t listen to me about renter’s insurance either.	4	1	1	1
74	2	3	2	Chandler	Monica	In a bad way?	No, honey, in a wonderful way. You know what you want now. Most guys don't even have a clue. You are ready to take risks, you are ready to be vulnerable, and intimate with someone.	Different, In a bad way?	Honey, in a wonderful way. You know what you want now. Most guys don't even have a clue. You are ready to take risks, you are ready to be vulnerable, and intimate with someone.	2	2	2	2
75	8	11	1	Mona	Ross	Y’know, every year I say I’m gonna send out holiday cards and I never do it. Do you wanna, do you wanna send this one out together?	(pause) Together? Like-like to people?	Do you wanna, do you wanna send this one out together?	Together? Like-like to people?	4	4	4	4
76	8	14	2	Rachel	Ross	I don’t know. Is it crazy?	No! No it’s not. Joey, this is a smart idea.	I don’t know. Is it crazy?	It’s not. Joey, this is a smart idea.	2	2	2	2
77	7	14	1	Chandler	Ross	Ross, a sports car? Wouldn’t it have been cheaper to just stuff a sock down there?	That’s not what this is about okay? I-I am a sports car enthusiast. I have always been into cars.	Ross, a sports car? Wouldn’t it have been cheaper to just stuff a sock down there?	That’s not what this is about okay? I-I am a sports car enthusiast. I have always been into cars.	4	4	4	4
78	7	20	1	Joey	Rachel	(leaning down to her) Maybe you’ll order a little sangria?	Oh, get out of here!	Maybe you’ll order a little sangria?	Oh, get out of here!	2	2	4	2
79	3	14	2	Rachel	Ross	Funny book?	Hmmm. Oh, no, no, I just thinking about something funny I heard today. Umm, Mark, Mark saying ‘I’ll see you Saturday.’	Funny book?	I just thinking about something funny I heard today	2	2	2	2
80	7	21	1	Chandler	Monica	(after they've left) Okay, did you see that?! With the inappropriate and the pinching!!	Actually, I did!	Okay, did you see that?! With the inappropriate and the pinching!!	Actually, I did!	1	1	1	1
81	9	19	1	Rachel	Joey	Ok, not that you need it but good...GOD!Is that Chase Lassiter?He's straight, right?	Rach, I gotta say...if you weren't here wondering if these guys were gay I don't know if I could do this!	Ok, not that you need it but good...GOD!Is that Chase Lassiter?He's straight, right?	Rach, I gotta say...if you weren't here wondering if these guys were gay I don't know if I could do this!	4	4	4	4
82	7	6	2	Monica	Chandler	Did you break up with her?	(pause) No, we’re still together. Yeah we went out for two summers, and then I broke up with her.	Did you break up with her?	We went out for two summers, and then I broke up with her.	1	1	1	1
83	9	6	2	David	Phoebe	Hi! I-i-is this a bad time?	(excited) No! It's a great time, come in...! WOW, hi... Oh my gosh! What are you doing here? Are you back from Minsk?	I-i-is this a bad time?	It's a great time, come in...!	2	2	2	2
84	2	10	1	Ross	Monica	Yeah, yeah, just a tough day at work. A stegosaurus fell over and trapped a kid. Whoa, whoa, I know this jacket, this is, th--Fun Bobby's jacket! Where is he, what. He, he's here, isn't he?	Maybe.	Whoa, whoa, I know this jacket, this is, th--Fun Bobby's jacket! Where is he, what. He, he's here, isn't he?	Maybe.	4	4	1	4
85	1	2	1	Joey	Ross	Your folks are really that bad, huh?	Well, y'know, these people are pros. They know what they're doing, they take their time, they get the job done.	Your folks are really that bad, huh?	Well, y'know, these people are pros. They know what they're doing, they take their time, they get the job done.	1	1	1	1
86	9	16	1	Rachel	Monica	Monica...would you please tell Joey that he is a pig?	You're a pig. And you can't do this.	Monica...would you please tell Joey that he is a pig?	You're a pig.	1	1	1	1
87	7	9	1	Chandler	Monica	Y’know what would work?	Hmm?	Y’know what would work?	Hmm?	4	2	2	2
88	9	22	1	Phoebe	Rachel	Uh, wow! Isn't it ironic that he liked you and now you like him?	(annoyed) Oh, I get it!	Uh, wow! Isn't it ironic that he liked you and now you like him?	Oh, I get it!	1	1	4	1
89	7	22	1	Joey	Woman	Y’know, you look familiar. Do I know you from somewhere?	I don’t think so.	Y’know, you look familiar. Do I know you from somewhere?	I don’t think so.	2	2	2	2
90	8	8	1	Ross	Mona	Should I leave this open for you too?	I’m not sure yet. Why didn’t you just tell me about all this?	Should I leave this open for you too?	I’m not sure yet. Why didn’t you just tell me about all this?	4	4	4	4
91	7	15	2	Joey	Cecilia	The airport?	No that’s La Guardia. (Joey nods in recognition.) This is Mexico.	The airport?	That’s La Guardia. This is Mexico.	2	2	5	2
92	7	16	1	Ben	Rachel	(mimicking her) Remember all that stuff I taught you yesterday?	Don’t do that.	Remember all that stuff I taught you yesterday?	Don’t do that.	4	5	4	4
93	1	19	3	Ross	Rachel	Really.	No. Oh, oh, I guess it would be different if I were- with somebody.	Really. You are happy for them?	Oh, oh, I guess it would be different if I were- with somebody.	4	4	4	4
94	10	11	2	Joey	Phoebe	Would you guys want to come down tomorrow and watch me tape the show?	Yeah, sorry boys, this ride's closing.	Would you guys want to come down tomorrow and watch me tape the show?	Sorry boys, this ride's closing.	4	5	4	4
95	2	1	2	Rachel	Joey	(poking her head in from her bedroom) Uh, morning. Do you guys think you could close your eyes for just a sec?	No-no-no-no-no, (grabs his pants) I'm not fallin' for that again.	Do you guys think you could close your eyes for just a sec?	I'm not fallin' for that again.	2	2	2	2
96	3	22	1	Ross	Monica	Okay, fine, fine. You don’t want to believe me? No, that’s fine. (starts to leave)	We’re kidding!	Okay, fine, fine. You don’t want to believe me? No, that’s fine.	We’re kidding!	1	1	4	1
97	9	11	2	Joey	Phoebe	If you want I could loan you some money?	Oh no, no, no. I learned never to borrow money from friends. No, that's why Richard Dreyfuss and I don't speak anymore.	If you want I could loan you some money?	Oh I learned never to borrow money from friends. That's why Richard Dreyfuss and I don't speak anymore.	2	2	2	2
98	4	16	1	Rachel	Joshua	Care for a cherry?	Oh, no thanks.	Care for a cherry?	Oh, no thanks.	2	2	2	2
99	9	23-24	2	Joey	Ross	Oh! ah! eh... Britney Spears!?	Yeah, she never misses these conferences! (then to Charlie) No, I just saw Dr. Kenneth Schwartz!	Oh! ah! eh... you saw Britney Spears!?	I just saw Dr. Kenneth Schwartz!	2	2	2	2
100	5	17	2	Monica	Joey	(looking out the window) Hey Joey! Isn't that the girl that waved at you the other day?	I don't know. But I can see through your sheet. (He looks out the window.) Yeah, yeah, that's her. But y'know what? Doesn't matter, I'm never gonna get to meet her anyway.	Hey Joey! Isn't that the girl that waved at you the other day?	That's her. But y'know what? Doesn't matter, I'm never gonna get to meet her anyway.	1	1	1	1
101	3	11	1	Monica	Phoebe	Hey Gunther. Hi. (to Phoebe) I mean you’re going out on a date with the noisy guy upstairs?	Well, he’s very charming.	I mean you’re going out on a date with the noisy guy upstairs?	Well, he’s very charming.	1	1	1	1
102	2	19	1	Ross	Mover	Go ahead, go ahead with the bird. Ok, do you have anything for around 200?	Uh, the dog. [points to a big poecelain greyhound]	Ok, do you have anything for around 200?	Uh, the dog.	1	1	1	1
103	8	4	1	Rachel	Ross	(on tape) Oh, I remember how we almost. Do you think we would’ve gone through with it? Y’know, if we hadn’t gotten caught. Do you think we would’ve done it?	(on tape) I mean I…I know I wanted to. I just, I just wasn’t sure if you wanted to.	Do you think we would’ve gone through with it? Y’know, if we hadn’t gotten caught. Do you think we would’ve done it?	I mean I…I know I wanted to. I just, I just wasn’t sure if you wanted to.	3	3	3	3
104	5	1	3	Joey	Chandler	Look, which one of us is gonna be having sex in there, me or you?	Well, I suppose I’d have to say you!! But, what if we’re watching a movie in here?	Look, which one of us is gonna be having sex in there, you?	Well, I suppose I’d have to say you!!	2	2	2	2
105	8	1	3	Rachel	Monica	Sure, but come on, as big as your wedding?	Of course not nothing is. Between me and you…	It is huge, but come on, as big as your wedding?	Of course not, nothing is.	2	2	2	2
106	7	15	1	Chandler	Rachel	Do you think you could get through a poem?	(crying) It’ll be a short one.	Do you think you could get through a poem?	It’ll be a short one.	3	3	3	3
107	8	21	1	Chandler	Rachel	(To Rachel) Did you like me when we first met?	Chandler, I’m not gonna lie to ya, but I am gonna run away from you. (Gets up and hurries out.)	Did you like me when we first met?	Chandler, I’m not gonna lie to ya, but I am gonna run away from you.	4	2	4	4
108	5	12	1	Monica	Doug	They have racquets don't they?!	Uh Bing, I think we're gonna make this the last game.	They have racquets don't they?!	Uh Bing, I think we're gonna make this the last game.	5	5	5	5
109	9	16	1	Ross	Phoebe	wow, are you still going to move in with him?	I want to, but I just want you to tell me that marriage isn't really that big a deal. You know that I won't, I won't be missing out on anything. That marriage stinks!	wow, are you still going to move in with him?	I want to, but I just want you to tell me that marriage isn't really that big a deal. You know that I won't, I won't be missing out on anything. That marriage stinks!	4	3	3	3
110	8	17	1	Rachel	Joey	Can you believe that?!	That’s crazy!	Can you believe that?!	That’s crazy!	2	2	2	2
111	5	2	2	Ross	Monica	Oh, so-so you talked to her. Did she, did she sound mad?	No, but she likes me. You abandoned her on a plane to Greece.	Did she, did she sound mad?	But she likes me. You abandoned her on a plane to Greece.	2	4	2	2
112	8	7	1	Chandler	Monica	So she stole your pants and then she came back and wore them in front of you?	Don’t you see? It’s the perfect crime!	So she stole your pants and then she came back and wore them in front of you?	Don’t you see? It’s the perfect crime!	1	1	1	1
113	3	8	2	Monica	Rachel	You okay?	Oh yeah! Y'know, if it’s not a headboard, it’s just not worth it.	You okay?	Y'know, if it’s not a headboard, it’s just not worth it.	4	5	5	5
114	2	15	3	Monica	Dr. Burke	The head tilt?	Yeah, since the divorce, when anybody asks me how I am, it's always with a sympathetic head tilt. [demonstrating] 'How ya doin'? You OK?'	You’re talking about the head tilt?	Since the divorce, when anybody asks me how I am, it's always with a sympathetic head tilt.	1	1	1	1
115	9	14	1	Chandler	Monica	Horrifying? Scarring? Something people go to jail for?	I guess you're right.	Horrifying? Scarring? Something people go to jail for?	I guess you're right.	1	1	1	1
116	6	24	1	Joey	Monica	(yelling through the door) Can we come it yet?! We’re dying out here!	Come in! Come in! (Joey, Rachel, and Phoebe burst through the door.) We’re engaged!!!	Can we come it yet?!	Come in! Come in!	1	1	1	1
117	6	2	1	Phoebe	Ross	(to the girls) Hi! Hi! Listen, my friend Ross is about to be divorced for the third time, but wouldn’t you date him?	And if you wait right here, I’ll go get Ross. (Phoebe grabs his arm and prevents him from escaping.)	Listen, my friend Ross is about to be divorced for the third time, but wouldn’t you date him?	And if you wait right here, I’ll go get Ross.	4	4	5	4
