	Season	Episode	Category	Q_person	A_person	Q_original	A_original	Q_modified	A_modified	Annotation_1	Annotation_2	Annotation_3	Goldstandard
29	1	1	1	Ross	Joey	(scornful) Grab a spoon. Do you know how long it's been since I've grabbed a spoon? Do the words 'Billy, don't be a hero' mean anything to you?	Great story!  But, I uh, I gotta go, I got a date with Andrea--Angela--Andrea...  Oh man, (looks to Chandler)	Do the words 'Billy, don't be a hero' mean anything to you?	Great story!	1	5	5	5
30	3	21	2	Phoebe	Chandler	Whoa-whoa-whoa, you guys, do you know anything about chicks?	Fowl? No. Women? Nooo.	Whoa-whoa-whoa, you guys, do you know anything about chicks?	Fowl? Women?	3	4	3	3
31	9	11	2	Phoebe	Joey	You could do that?	Yeah, yeah. The pay is pretty good and you could do it for as long as you need.	You could do that?	The pay is pretty good and you could do it for as long as you need.	1	1	1	1
32	5	20	1	Joey	Phoebe	You got to go on a ride along?!	Uh-huh!	You got to go on a ride along?!	Uh-huh!	1	1	1	1
33	5	2	1	Joey	Phoebe	(interrupting) Was his name Angus? (Monica and Chandler laugh.)	What?	Was his name Angus?	What?	4	4	5	4
34	7	15	1	Joey	Dina	So you like the nachos uh? Myself I’m partial to…	(interrupting) I’m 16.	So you like the nachos uh?	I’m 16.	5	5	5	5
35	4	21	1	Rachel	Ross	Good different?	Nobody likes change.	Good different?	Nobody likes change.	2	2	2	2
36	7	15	2	Monica	Chandler	Wouldn’t you love to do it just once?! (Raises her hand towards Chandler.)	Don’t do it.	Wouldn’t you love to do it just once?!	Don’t do it.	2	2	2	2
37	2	6	2	Joey	Monica	Is he gonna be ok?	Yeah, he's just gotta get a shot.	Is he gonna be ok?	He's just gotta get a shot.	1	4	1	1
38	8	22	1	Chandler	Rachel	Hey! Did you have the baby yet?	Do you want me to come over there and sit on you? ‘Cause I’ll do it.	Hey! Did you have the baby yet?	Do you want me to come over there and sit on you? ‘Cause I’ll do it.	4	2	2	2
39	9	13	3	Ross	Rachel	When I happened to look through the window and I see you kissing a guy you know, for what? A week?	Oh, that�s what this is all about? Did you bring her up here to get back at me?	When I happened to look through the window and I see you kissing a guy you know, for what? A week?	Oh, that's what this is all about? Did you bring her up here to get back at me?	4	4	4	4
40	4	3	3	Monica	Phoebe	Really?!	Oh, they love your casserole.	Really?! They’re not even touching the lasagna!?	Oh, they love your casserole.	2	4	4	4
41	3	13	1	Chandler	Ross	Making chocolate milk. Do you want some?	No thanks. I’m 29.	Making chocolate milk. Do you want some?	No thanks. I’m 29.	2	2	2	2
42	8	8	1	Stu	Monica	You hired your husband a hooker?	She’s a stripper.	You hired your husband a hooker?	She’s a stripper.	2	2	2	2
43	5	5	2	Chandler	Monica	So, this isn't over?	(laughs) You are so cute! No. No, it was a fight. You deal with it and move on! It's nothing to freak out about	So, this isn't over?	You are so cute! It was a fight. You deal with it and move on! It's nothing to freak out about.	2	2	2	2
44	6	23	1	Male Jeweler	Chandler	Okay. (Holds out the ring, deadpan.) Will you marry me?	(choking up) Oh my God that’s it, that’s the ring! How much is it?	Will you marry me?	Oh my God that’s it, that’s the ring!	4	5	5	5
45	6	1	1	Ross	Phoebe	Okay. (Sits down next to Phoebe.) You uh, you wanna hear something weird?	Always.	You uh, you wanna hear something weird?	Always.	1	1	1	1
46	10	1	1	Phoebe	Mike	You have a... You have a date? With who?	Oh, it's... my girlfriend.	You have a... You have a date?	Oh, it's... my girlfriend.	1	1	1	1
47	10	13	2	Rachel	Ross	Wait, we won't know that until we do it, will we?	No, look, uh. You are upset about your father and you're feeling vulnerable and I just don't feel it would be right, I'd feel like I'd be, you know, taking advantage of you.	Wait, we won't know that until we do it, will we?	Look, uh. You are upset about your father and you're feeling vulnerable and I just don't feel it would be right, I'd feel like I'd be, you know, taking advantage of you.	4	4	4	4
48	4	11	1	Joey	Ross	It’s no big deal. Hey, y’know, you do what you gotta do. Right?	But hey, it’s not just me, I mean the scientists and the tour guides never sit together.	Hey, y’know, you do what you gotta do. Right?	But hey, it’s not just me, I mean the scientists and the tour guides never sit together.	4	4	4	4
49	1	2	1	Barry	Rachel	You know, you were right? I mean, I thought we were happy. We weren't happy. But with Mindy, now I'm happy. Spit.	What?	You know, you were right?	What?	4	4	4	4
50	3	2	3	Monica	Ross	Is-is-is that message old or new? (yelling) Old or new?! Old or new?!	It's old, it's definitely old. Didn't you hear the, the double beep?	Is-is-is that message new?	It's old, it's definitely old. Didn't you hear the, the double beep?	2	2	2	2
51	9	1	1	Rachel	Joey	Oh look, she’s pulling away again! Do you think my nipples are too big for her mouth? (Joey gets embarrassed.) She looks scared. Doesn’t she look scared?	Y’know, I don’t really know her.	Doesn’t she look scared?	Y’know, I don’t really know her.	4	4	4	4
52	6	19	1	Elizabeth	All	Well, I really wanted to meet you guys, but I have to run. I’ll see you later?	Okay!	I’ll see you later?	Okay!	1	1	1	1
53	9	22	1	Monica	Zack	Eh... Heart Disease, Alzheimers, gout?	You guys don't have people for dinner a lot, huh?	Eh... Heart Disease, Alzheimers, gout?	You guys don't have people for dinner a lot, huh?	5	5	5	5
54	9	14	1	Phoebe	Joey	Now, wait a minute. So, they're gonna name their first child Joey?	Uh-huh.	Now, wait a minute. So, they're gonna name their first child Joey?	Uh-huh.	1	1	1	1
55	4	1	1	Chandler	Monica	All right, there’s a nuclear holocaust, I’m the last man on Earth. Would you go out with me?	Ennnh.	All right, there’s a nuclear holocaust, I’m the last man on Earth. Would you go out with me?	Ennnh.	4	4	4	4
56	1	4	2	Monica	Pizza Guy	Was he wearing a stunning blue suit?	No, pretty much just a towel.	Was he wearing a stunning blue suit?	Pretty much just a towel.	2	2	2	2
57	10	2	2	Joey	Rachel	But what you saw, that is the extent of it, okay? One kiss.	No, come on, that is a lie. We also kissed in Barbados.	But what you saw, that is the extent of it, okay? One kiss.	Come on, that is a lie. We also kissed in Barbados.	2	2	2	2
58	9	23-24	1	Chandler	Monica	Monica, can I talk to you for a sec? (Pulls her away from Phoebe and Rachel)	Ok!	Monica, can I talk to you for a sec?	Ok!	1	1	1	1
59	8	16	3	Ross	Joey	Rachel?!	(startled) Yeah, okay but look, buy uh—Hey-hey, y’know, y’know who else I like? You! And it-it doesn’t get said enough. I like you Ross.	You mean you like Rachel?!	Okay but look, buy uh—Hey-hey, y’know, y’know who else I like? You! And it-it doesn’t get said enough. I like you Ross.	1	1	1	1
60	6	7	1	Janine	Joey	Sure, listen I was gonna order some pizza, you wanna share one?	Pizza, heh, its not like I never had that before...ba dum bum cheshhh.	Listen I was gonna order some pizza, you wanna share one?	Pizza, heh, it’s not like I never had that before...ba dum bum cheshhh.	4	4	4	4
61	8	22	1	Joey	Chandler	Hey, what about the scene with the kangaroo? Did-did you like that part?	I was surprised to see a kangaroo in a World War I epic.	Hey, what about the scene with the kangaroo? Did-did you like that part?	I was surprised to see a kangaroo in a World War I epic.	4	4	4	4
62	8	3	3	Rachel	Ross	What, because that’s your answer to everything?	No, because that’s the right thing to do.	What, because getting married is your answer to everything?	Because that’s the right thing to do.	2	2	2	2
63	5	1	1	Monica	Chandler	I know, I’ve been looking at those doors, they look pretty sound proof, don’t you think?	We can’t do that that’s insane. I mean ‘A’ he could wake up and ‘B’ y’know, let’s go for it.	I know, I’ve been looking at those doors, they look pretty sound proof, don’t you think?	We can’t do that that’s insane. I mean ‘A’ he could wake up and ‘B’ y’know, let’s go for it.	4	4	4	4
64	6	22	2	Female Clerk	Joey	Can I help you?	Uh yeah, where-where’s the guy who decides who’s pictures go up on the wall?	Can I help you?	Uh, where-where’s the guy who decides who’s pictures go up on the wall?	1	1	1	1
65	8	21	1	Monica	Joey	Remember that guy that gave me a bad review? Well… (Feeds him a spoonful of what she’s cooking.) I’m getting my revenge!	You cooked him?	Remember that guy that gave me a bad review?	You cooked him?	1	1	1	1
66	1	13	1	Monica	Phoebe	So, you think you'll do it on his couch?	Oh, I don't know, I don't know. I think that's a little weird, y'know? Vinyl.	So, you think you'll do it on his couch?	Oh, I don't know, I don't know. I think that's a little weird, y'know? Vinyl.	4	4	4	4
67	7	17	1	Phoebe	Monica	(gasps) Does that mean Carcass is available?	What am I gonna do?! That is the dress! That is the dress! Wh…Chandler wants the band. What do I do?	Does that mean Carcass is available?	What am I gonna do?! That is the dress! That is the dress!	5	5	5	5
68	9	18	1	Phoebe	Ross	(still in sexy tone) Oooh, is daddy getting angry? Is daddy gonna spank me?	(tries to be sexy too) Well that depends ... have you been a baaad gi .. (stops) no I can't.	Oooh, is daddy getting angry? Is daddy gonna spank me?	Well that depends ... have you been a baaad gi ..	3	3	3	3
69	9	6	2	Joey	Monica	(to Monica) Did that guy really make that joke?	Naaaa... He still kills me. Last night he had me laughing so hard, I swear... a little pee came out.	Did that guy really make that joke?	He still kills me. Last night he had me laughing so hard, I swear... a little pee came out.	1	1	1	1
70	1	5	1	Rachel	Ross	Oh god. Oh, am I being like a total laundry spaz? I mean, am I supposed to use like one machine for shirts and another machine for pants?	Rach, have you never done this before?	Oh god. Oh, am I being like a total laundry spaz? I mean, am I supposed to use like one machine for shirts and another machine for pants?	Rach, have you never done this before?	4	4	4	4
71	6	18	2	Ross	Elizabeth	What? No! Of course, of course I do! Are-are they gone?	Uh no, they’re still here but I think I’m about to leave.	Are-are they gone?	They’re still here but I think I’m about to leave.	2	2	2	2
72	9	11	1	Rachel	Gavin	Let me just get this straight! So I go have a baby and they send some guy in to do my job?	Well, there was talk of shutting down Ralph Lauren all together.	So I go have a baby and they send some guy in to do my job?	Well, there was talk of shutting down Ralph Lauren all together.	4	4	4	4
73	9	23-24	2	Charlie	Ross	Are they still looking for us?	Yeah. The bartender said that they split up into two search parties, the herbivores and the carnivores. (pause) You know, we as a group are not the coolest.	Are they still looking for us?	The bartender said that they split up into two search parties, the herbivores and the carnivores.	1	1	1	1
74	10	17-18	1	Phoebe	Ross	Hey, do you realise that at one time or another we all lived in this apartment?	Uh, I haven't.	Hey, do you realise that at one time or another we all lived in this apartment?	Uh, I haven't.	2	2	2	2
75	8	12	2	Rachel	Ross	…you were 50 minutes late to the class, what did you crawl there?!	"No, I ran. It was really far, and when did people stop understanding the phrase, ""Get the hell out of my way!"""	…you were 50 minutes late to the class, what did you crawl there?!	"I ran. It was really far, and when did people stop understanding the phrase, ""Get the hell out of my way!"""	2	2	2	2
76	7	3	2	Phoebe	Monica	Oh, what was that for? Like a bake sale?	No, just a Friday night.	Oh, what was that for? Like a bake sale?	Just a Friday night.	2	2	2	2
77	1	2	1	Ross	Phoebe	Then don't do that, alright?	Okay!	Then don't do that, alright?	Okay!	1	1	1	1
78	8	8	1	Chandler	Monica	Could you not narrate?	Gotcha sailor. (Kicks one of her shoes off and it lands in the kitchen knocking something down, but she continues to strip.)	Could you not narrate?	Gotcha sailor.	1	1	1	1
79	4	23	3	Rachel	Phoebe	Ohh—Do you think he will?!	No! Because he’s in love with the British chippy! Look, Rachel, if you go, you’re just gonna mess with his head and ruin his wedding! Y’know, it’s too late! You missed you’re chance! I’m sorry, I know this must be really hard, it’s over.	Ohh—Do you think he will say he loves me?!	He’s in love with the British chippy! Look, Rachel, if you go, you’re just gonna mess with his head and ruin his wedding! Y’know, it’s too late! You missed you’re chance! I’m sorry, I know this must be really hard, it’s over.	2	2	5	2
80	8	15	3	Ross	Phoebe	Ever?!	Well, I think my mother was too busy planning her suicide to provide saltwater treats. (Ross hands her one) Thank you! So what, you’re just never going to tell her?	You never have any taffy? Ever?!	Well, I think my mother was too busy planning her suicide to provide saltwater treats.	2	2	2	2
81	3	14	1	Joey	Chandler	(to Chandler) Heard about the leg burnin’ huh?	It came up.	Heard about the leg burnin’ huh?	It came up.	1	1	1	1
82	5	7	2	Phoebe	Larry	It's okay to laugh right?	Yeah, I was just kidding.	It's okay to laugh right?	I was just kidding.	1	4	1	1
83	5	8	1	Monica	Ross	Is anyone thankful for anything else besides a thong?	Huh, I don't know what to pick. Am I more thankful for my divorce or my eviction? Hmm.	Is anyone thankful for anything else besides a thong?	Huh, I don't know what to pick. Am I more thankful for my divorce or my eviction?	1	4	1	1
84	9	7	1	Ross	Rachel	You sang Baby Got Back didn't you?	Nothing else worked. That girl is all about the ass...	You sang Baby Got Back didn't you?	Nothing else worked. That girl is all about the ass…	1	1	1	1
85	4	11	2	Kathy	Chandler	Umm, (moves her hand’s down to his butt) I love this touchy. Can I take it to work with me?	Oh, yeah, sure, it’s not mine anyway. It can with the pants.	I love this touchy. Can I take it to work with me?	Oh, sure, it’s not mine anyway.	1	1	1	1
86	3	22	1	Joey	Kate	Listen, drama critics they’re nothing but, but people who couldn’t make it as actors. You know what you should do?	Become a drama critic!	Listen, drama critics they’re nothing but, but people who couldn’t make it as actors. You know what you should do?	Become a drama critic!	1	1	1	1
87	7	21	2	Phoebe	Joey	Okay, so now they know that you know and they don't know that Rachel knows?	Yes, but y'know what? It doesn't matter who knows what. Now, enough of us know that we can just tell them that we know! Then all the lying and the secrets would finally be over!	Okay, so now they know that you know and they don't know that Rachel knows?	But y'know what? It doesn't matter who knows what. Now, enough of us know that we can just tell them that we know! Then all the lying and the secrets would finally be over!	4	1	1	1
88	6	24	1	Phoebe	Chandler	If she says no, can I have the ring?	She’s not gonna say no	If she says no, can I have the ring?	She’s not gonna say no	4	4	4	4
89	2	4	3	Rachel	Ross	Uh, OK, I mean uh, what, how are you gonna handle it. I mean, are, are ya gonna, are ya gonna talk about it before hand, are you just gonna pounce?	I uh, I don't know, I guess I'm just gonna see, see what happens.	Uh, OK, I mean uh, what, how are you gonna handle it. I mean, are, are ya gonna, are ya gonna talk about it before hand?	I uh, I don't know, I guess I'm just gonna see, see what happens.	4	4	4	4
90	2	12-13	2	Susie	Chandler	Remember the class play? You, you pulled up my skirt and the entire auditorium saw my underpants.	Yes, back then I, uh, used humor as a defense mechanism. Thank God I don't do that anymore.	Remember the class play? You, you pulled up my skirt and the entire auditorium saw my underpants.	Back then I, uh, used humor as a defense mechanism. Thank God I don't do that anymore.	1	1	1	1
91	2	1	3	Ross	Julie	 The screaming guy?	 And the spitting?	 Remember the screaming guy?	 And the spitting?	1	1	1	1
92	8	22	1	Phoebe	Monica	It’s interesting that you lost. Now, I forget, do you like to lose?	Now stop it! Double or nothing that she has it by tomorrow!	Now, I forget, do you like to lose?	Now stop it! Double or nothing that she has it by tomorrow!	4	4	4	4
93	1	3	2	Lizzie	Phoebe	Would you like my tin-foil hat?	No. 'Cause you need that. No, it's okay, thanks.	Would you like my tin-foil hat?	You need that.	2	2	2	2
94	7	19	1	Joey	The Casting Director	Uh so, will-will I be reading the same scene again?	Actually, I tried to call to you. You didn’t need to come down here today.	Uh so, will-will I be reading the same scene again?	Actually, I tried to call to you. You didn’t need to come down here today.	2	2	2	2
95	9	6	1	Phoebe	Mike	(in a flash she answers) Maybe not, is it?	"Okay, when I got divorced, I didn't think I'd feel this way about someone for a really long time... Then again, I didn't think I'd meet someone like you... and... this may be crazy soon, but... I want you to have this... (He tries to get something from his pocket, but it's not that easy... Phoebe looks in a ""what's happening"" face to him. He finally has found something) No, not... that's gum. (He digs in a little more.) Ooh, five bucks... I love it when that happens, you know... Think no note's there..."	Maybe not, is it?	Okay, when I got divorced, I didn't think I'd feel this way about someone for a really long time... Then again, I didn't think I'd meet someone like you... and... this may be crazy soon, but... I want you to have this...	4	4	2	4
96	7	22	3	Rachel	Ross	Really? You think so?	I was talking to myself! You’re going down!	Really? You think I’m not in that much trouble?	I was talking to myself! You’re going down!	1	2	2	2
97	7	14	1	Joey	Chandler	Now that you’re a couple, we don’t get two presents from you guys?	For my last birthday you gave me a hug!	Now that you’re a couple, we don’t get two presents from you guys?	For my last birthday you gave me a hug!	4	4	4	4
98	8	2	1	Phoebe	Rachel	Hey! Ooh, did you do it yet?	Not yet.	Ooh, did you do it yet?	Not yet.	2	2	2	2
99	1	18	1	Ross	Rachel	So, you gals wanna hand over your money now? That way, we don't have to go through the formality of actually playing.	Ooooh, that's fine. We'll see who has the last laugh there, monkey boy.	So, you gals wanna hand over your money now? That way, we don't have to go through the formality of actually playing.	Ooooh, that's fine. We'll see who has the last laugh there, monkey boy.	2	4	2	2
100	8	9	2	Rachel	Joey	Remember I had to leave the room the other day when you had that roast chicken?	Yeah. But I thought that was because I put the whole thing on my hand and made it walk across the table.	Remember I had to leave the room the other day when you had that roast chicken?	But I thought that was because I put the whole thing on my hand and made it walk across the table.	1	1	1	1
101	5	5	1	Chandler	Monica	Oh, who should I blame? The nice bell man who had to drag out luggage to 10 different rooms?	I don't know, how about the idiot who thought he could drive from Albany to Canada on a half a tank of gas!	Oh, who should I blame? The nice bell man who had to drag our luggage to 10 different rooms?	I don't know, how about the idiot who thought he could drive from Albany to Canada on a half a tank of gas!	4	2	2	2
102	3	5	2	Rachel	Phoebe	I thought you only met him once?	Yeah, I did. I think it sounds y'know big sistery, y'know, ‘Frank’s always late.’	I thought you only met him once?	I did.	1	1	1	1
103	6	1	1	Rachel	Chandler	Well, I guess we just find a divorce lawyer? (Looks at Ross.)	Well, I think, I think, Ross already has one. Now, this one’s free, right? Because you paid for the first two, so the third one’s free.	Well, I guess we just find a divorce lawyer?	Well, I think, I think, Ross already has one. Now, this one’s free, right? Because you paid for the first two, so the third one’s free.	4	1	4	4
104	6	23	1	Rachel	Paul	All right Paul, I’m not asking for a lot here. Okay? Just give me something. Anything!	Okay.	All right Paul, I’m not asking for a lot here. Okay? Just give me something. Anything!	Okay.	1	1	1	1
105	8	1	1	Ross	Monica	What?! What do you mean? You-you-you’re not pregnant?	You didn’t tell anybody I was did you?!	What?! What do you mean? You-you-you’re not pregnant?	You didn’t tell anybody I was did you?!	2	2	4	2
106	8	10	1	Monica	Chandler	Hey! Do you think that we can get to the subway right there if we climb down through the manhole cover?	What’s going on?	Hey! Do you think that we can get to the subway right there if we climb down through the manhole cover?	What’s going on?	5	4	5	5
107	6	18	1	Chandler	Rachel	Ahh, Hotties of the Paleontology Department, there’s a big selling calendar, eh?	Who wrote it?	Ahh, Hotties of the Paleontology Department, there’s a big selling calendar, eh?	Who wrote it?	4	4	4	4
108	2	19	2	Estelle	Joey	Joey, look at me, look at me. Do I have lipstick on my teeth?	No, can we get back to me?	Do I have lipstick on my teeth?	Can we get back to me?	4	4	5	4
109	6	9	1	Monica	Chandler	You really think that’ll work?	Hey, I can be pretty charming, babe, I won YOU over, didn’t I?	You really think that’ll work?	Hey, I can be pretty charming, babe, I won YOU over, didn’t I?	1	1	1	1
110	6	24	2	Richard	Monica	So Monica let me ask you a question. Y’know, since we broke up do you ever, think about me?	Uh yeah, I-I actually I thought about you a couple months ago.	Y’know, since we broke up do you ever, think about me?	I-I actually I thought about you a couple months ago.	1	1	1	1
111	3	6	1	Rachel	Monica	Oh, yeah, sure, sure, sure, sure. (points at Chandler, who holds up the cue ball as a ‘Remember me?’ thing) Listen, can we please have lunch the next time I’m in the city?	Oh, that’d be great.	Listen, can we please have lunch the next time I’m in the city?	Oh, that’d be great.	1	1	1	1
112	6	21	2	Chandler	Phoebe	This is going in your book?	Yeah, it’s about relationships. Y’know? The traps, the pitfalls, what not to do, keep going. This stuff is great!	This is going in your book?	It’s about relationships. Y’know? The traps, the pitfalls, what not to do, keep going. This stuff is great!	1	4	1	1
113	5	3	1	Monica	Joey	Feeling a little better sweetie?	Well, maybe a little. I wish you hadn't seen me throw up.	Feeling a little better sweetie?	Well, maybe a little. I just wish you hadn't seen me throw up.	1	1	4	1
114	9	22	1	Phoebe	Rachel	You like Joey?	Shhhhh! Phoebe! All right, look. I have a little thing for him.	You like Joey?	Shhhhh! Phoebe! All right, look. I have a little thing for him.	1	1	1	1
115	6	7	3	Phoebe	Rachel	Really?	Yeah, it'll be fun. We'll run in the park. It'll be like our first y’know roommate bonding thing.	Really? You want me to go running with you?	It'll be fun. We'll run in the park. It'll be like our first y’know roommate bonding thing.	1	1	1	1
116	10	6	1	Ross	Benjamin	I have to break up with Charlie?	Hey, you got one right!	I have to break up with Charlie?	Hey, you got one right!	1	1	4	1
117	8	11	2	Ross	Mona	(pause) Together? Like-like to people?	Yeah, y’know. Happy holidays from Mona and Ross. It’ll be cute, okay?	Together? Like-like to people?	Y’know. Happy holidays from Mona and Ross.	1	1	1	1
118	7	19	1	Rachel	Phoebe	Oh my God you’re amazing! Did you just pull that out of her purse?	Uh-huh, and a little seed money for the party. (Holds up $40.)	Did you just pull that out of her purse?	Uh-huh, and a little seed money for the party.	1	1	1	1
119	6	8	2	Rachel	Phoebe	Oh my God. Did you talk to him?	Yeah a little. He seems really nice. Good kisser.	Did you talk to him?	A little. He seems really nice. Good kisser.	1	1	1	1
120	9	12	2	Gavin	Rachel	Why do you even care if I was looking at her? Are you jealous?	"Oh yeah, I'm jealous. ""Oh Gavin, please, please look at my ass"". (Gavin starts looking) Stop looking at my ass! I mean, I just think you are totally inappropriate, ok? This is a work environment, she's your subordinate."	Why do you even care if I was looking at her? Are you jealous?	"Oh I'm jealous. ""Oh Gavin, please, please look at my ass""."	1	1	1	1
